QA_id,chunk_id,chunk_name,Powerpoint,content,Human_Questions,Human_Answers,synthetic_question,synthetic_answer
97,97,userguide_serialization_chunks_chunk_5,3,"# Serialization
## Deserialization from configuration strings
### Using default values

Just like default values can be omitted when working in Python,
they can be omitted from the corresponding serialization string:

```python
from baybe.parameters import CategoricalParameter

p1 = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
p2 = CategoricalParameter(name=""Setting"", values=[""low"", ""high""], encoding=""OHE"")

p1_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
p2_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""],
    ""encoding"": ""OHE""
}
""""""

p1_via_json = CategoricalParameter.from_json(p1_json)
p2_via_json = CategoricalParameter.from_json(p2_json)

assert p1 == p1_via_json == p2 == p2_via_json
```",What happens if I omit a value from the serialization string?,"If the parameter has a default value, this one will be used. There is no information in what is going to happen if a parameter does not have a default value.",What is the encoding used for the second CategoricalParameter in the example?,OHE
98,98,userguide_serialization_chunks_chunk_6,4,"# Serialization
## Deserialization from configuration strings
### Automatic field conversion

BayBE classes apply converters to their inputs so that simpler attribute
representations can be passed.
Of course, these shortcuts can be analogously used inside a configuration string.

While the above holds generally true for all classes that have converters in place,
providing a few specific example may help to convey the concept:

* Since `Intervals` can be created *implicitly*,
  it is enough the specify their bound values directly:
  ```python
  from baybe.targets import NumericalTarget
  from baybe.utils.interval import Interval

  t1 = NumericalTarget(name=""T"", mode=""MAX"", bounds=Interval(0, 1))
  t2 = NumericalTarget(name=""T"", mode=""MAX"", bounds=(0, 1))
  t3 = NumericalTarget.from_json('{""name"": ""T"", ""mode"": ""MAX"", ""bounds"": [0, 1]}')

  assert t1 == t2 == t3
  ```
* Conversion to enums happens automatically whenever needed;
  therefore, providing a raw string instead is sufficient:
  ```python
  from baybe.targets import NumericalTarget, TargetMode

  t1 = NumericalTarget(name=""T"", mode=TargetMode.MAX)
  t2 = NumericalTarget(name=""T"", mode=""MAX"")
  t3 = NumericalTarget.from_json('{""name"": ""T"", ""mode"": ""MAX""}')

  assert t1 == t2 == t3
  ```",No,,How can `Intervals` be created using `NumericalTarget` in BayBE classes?,"`Intervals` can be created by specifying their bound values directly, such as `bounds=Interval(0, 1)` or `bounds=(0, 1)`."
99,99,userguide_serialization_chunks_chunk_7,Tia,"# Serialization
## Deserialization from configuration strings
### The type field

Due to the leading design philosophy behind BayBE to provide its users easy access
to a broad range of tools, you typically have the choice between several modelling
alternatives when building your objects.
For example, when describing the degrees of freedom of your experimental campaign,
you can chose from several different [parameter types](parameters.md).

While this offers great flexibility, it comes with a challenge for deserialization
because you cannot know a priori which concrete object subclass is contained
in an incoming serialization string on the receiving end.
Instead, you oftentimes need to be able to process the incoming string dynamically.

For example, consider the following string, which perfectly mirrors the signatures of
both
`CategoricalParameter` and
`TaskParameter`:

```python
parameter_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
```

Unless you are aware of the specific purpose for which the string was created,
calling one of the classesâ constructors directly is impossible because you
simply do not know which one to chose.
A similar situation arises with [nested objects](#nested-objects) because resorting to
an explicit constructor call of a hand-selected subclass is only possible at the
highest level of the hierarchy, whereas the inner object types would remain unspecified.

The problem can be easily circumvented using an explicit subclass resolution
mechanism, i.e., by tagging the respective subclass in an additional `type` field that
holds the classâ name.
This allows to deserialize the object from the corresponding base class instead
(i.e., `Parameter` class in the example below),
mirroring the flexibility of specifying subtypes to your configuration file:

```python
from baybe.parameters.base import Parameter
from baybe.parameters import CategoricalParameter, TaskParameter

categorical_parameter = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
categorical_parameter_json = """"""
{
    ""type"": ""CategoricalParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `CategoricalParameter.from_json`:
categorical_parameter_reconstructed = Parameter.from_json(categorical_parameter_json)
assert categorical_parameter == categorical_parameter_reconstructed

task_parameter = TaskParameter(name=""Setting"", values=[""low"", ""high""])
task_parameter_json = """"""
{
    ""type"": ""TaskParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `TaskParameter.from_json`:
task_parameter_reconstructed = Parameter.from_json(task_parameter_json)
assert task_parameter == task_parameter_reconstructed
```

#### NOTE
When serializing an object that belongs to a class hierarchy, BayBE automatically
injects the `type` field into the serialization string to enable frictionless deserialization
at a later stage.","When deserializing nested objects with different object types, how do you make sure they are deserialized to the correct object subclasses?","The problem can be easily circumvented using an explicit subclass resolution mechanism, i.e., by tagging the respective subclass in an additional type field that holds the class' name. This allows to deserialize the object from the corresponding base class instead (i.e., {class}Parameter <baybe.parameters.base.Parameter> class in the example below), mirroring the flexibility of specifying subtypes to your configuration file: from baybe.parameters.base import Parameter
from baybe.parameters import CategoricalParameter, TaskParameter

categorical_parameter = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
categorical_parameter_json = """"""
{
    ""type"": ""CategoricalParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `CategoricalParameter.from_json`:
categorical_parameter_reconstructed = Parameter.from_json(categorical_parameter_json)
assert categorical_parameter == categorical_parameter_reconstructed

task_parameter = TaskParameter(name=""Setting"", values=[""low"", ""high""])
task_parameter_json = """"""
{
    ""type"": ""TaskParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `TaskParameter.from_json`:
task_parameter_reconstructed = Parameter.from_json(task_parameter_json)
assert task_parameter == task_parameter_reconstructed  
#### NOTE
When serializing an object that belongs to a class hierarchy, BayBE automatically
injects the `type` field into the serialization string to enable frictionless deserialization
at a later stage.",What field is added to the serialization string in BayBE to facilitate deserialization?,The `type` field.
100,100,userguide_serialization_chunks_chunk_8,8,"# Serialization
## Deserialization from configuration strings
### Using abbreviations

Classes that have an `abbreviation` class variable defined can be conveniently
deserialized using the corresponding abbreviation string:

```python
from baybe.acquisition.base import AcquisitionFunction

acqf1 = AcquisitionFunction.from_json('{""type"": ""UpperConfidenceBound""}')
acqf2 = AcquisitionFunction.from_json('{""type"": ""UCB""}')

assert acqf1 == acqf2
```

<a id=""nested-objects""></a>",,,"What does the abbreviation ""UCB"" stand for in the context of deserialization?",UpperConfidenceBound
101,101,userguide_serialization_chunks_chunk_9,9,"# Serialization
## Deserialization from configuration strings
### Nesting objects

BayBE objects typically appear as part of a larger object hierarchy.
For instance, a
`SearchSpace` can hold one or several
`Parameters`, just like an
`Objective` can hold one or several
`Targets`.
This hierarchical structure can be directly replicated in the serialization string:

```python
from baybe.objectives import DesirabilityObjective
from baybe.targets import NumericalTarget

objective = DesirabilityObjective(
    targets=[
        NumericalTarget(name=""T1"", mode=""MAX"", bounds=(-1, 1)),
        NumericalTarget(name=""T2"", mode=""MIN"", bounds=(0, 1)),
    ],
    weights=[0.1, 0.9],
    scalarizer=""MEAN"",
)

objective_json = """"""
{
    ""targets"": [
        {
            ""type"": ""NumericalTarget"",
            ""name"": ""T1"",
            ""mode"": ""MAX"",
            ""bounds"": [-1.0, 1.0]
        },
        {
            ""type"": ""NumericalTarget"",
            ""name"": ""T2"",
            ""mode"": ""MIN"",
            ""bounds"": [0.0, 1.0]
        }
    ],
    ""weights"": [0.1, 0.9],
    ""scalarizer"": ""MEAN""
}
""""""

assert objective == DesirabilityObjective.from_json(objective_json)
```

<a id=""alternative-constructors""></a>",How do I encode targets in BayBE? How do I set different weights for targets? I have multiple targets; how do I format my input objective?,,What is the type of the first target in the DesirabilityObjective example?,NumericalTarget
102,102,userguide_simulation_chunks_chunk_2,4,"# Simulation
BayBE offers multiple functionalities to âsimulateâ experimental campaigns with a given lookup mechanism. This user guide briefly introduces how to use the methods available in our [simulation subpackage]().

For a wide variety of applications of this functionality, we refer to the corresponding [examples]().

## Terminology: What do we mean by âSimulationâ?

The term âsimulationâ can have two slightly different interpretations, depending on the applied context.

1. It can refer to âbacktestingâ a particular experimental campaign on a fixed finite dataset.
   Thus, âsimulationâ means investigating what experimental trajectory we would have observed if we had used different setups or recommenders and restricted the possible parameter configurations to those contained in the dataset.
2. It can refer to the simulation of an *actual* DOE loop, i.e., recommending experiments and retrieving the corresponding measurements, where the loop closure is realized in the form of a callable (black-box) function that can be queried during the optimization to provide target values. Such a callable could for instance be a simple analytical function or a numerical solver of a set of differential equations that describe a physical system.",Is there a difference in how different types of simulation are handled by bayBE?,"No, there is not.","What are the two interpretations of ""simulation"" mentioned in the user guide?","The two interpretations are ""backtesting"" a particular experimental campaign on a fixed finite dataset and simulating an actual DOE loop with callable functions for optimization."
103,103,userguide_simulation_chunks_chunk_3,Tia,"# Simulation
## The Lookup Mechanism

BayBEâs simulation package enables a wide range of use cases and can even be used for âoracle predictionsâ.
This is made possible through the flexible use of lookup mechanisms, which act as the loop-closing element of an optimization loop.

Lookups can be provided in a variety of ways, by using fixed data sets, analytical functions, or any other form of black-box callable.
In all cases, their role is the same: to retrieve target values for parameter configurations suggested by the recommendation engine.# Simulation
## The Lookup Mechanism
### Using a `Callable`

Using a `Callable` is the most general way to provide :class: tip
If you already have a lookup callable available in an array-based format (for instance,
if your lookup values are generated using third-party code that works with array inputs
and outputs), you can effortlessly convert this callable into the required
dataframe-based format by applying our
{func}`~baybe.utils.dataframe.arrays_to_dataframes` decorator. 

For example, the above lookup can be equivalently created as follows:
```python
import numpy as np

from baybe.utils.dataframe import arrays_to_dataframes


@arrays_to_dataframes([""p1""], [""t1""])
def lookup(array: np.ndarray) -> np.ndarray:
    """"""The same lookup function in array logic.""""""
    return array**2
```a lookup mechanism.
Any `Callable` is a suitable lookup as long as it acce:class: tip
If you already have a lookup callable available in an array-based format (for instance,
if your lookup values are generated using third-party code that works with array inputs
and outputs), you can effortlessly convert this callable into the required
dataframe-based format by applying our
{func}`~baybe.utils.dataframe.arrays_to_dataframes` decorator. 

For example, the above lookup can be equivalently created as follows:
```python
import numpy as np

from baybe.utils.dataframe import arrays_to_dataframes


@arrays_to_dataframes([""p1""], [""t1""])
def lookup(array: np.ndarray) -> np.ndarray:
    """"""The same lookup function in array logic.""""""
    return array**2
```pts a dataframe containing parameter configurations and returns the corresponding target values.
More specifically:

- The input is expected to be a dataframe whose column names contain the parameter names and whose rows represent valid parameter configurations.
- The returned output must be a dataframe whose column names contain the target names and whose rows represent valid target values.
- The indices of the input and output dataframes must match.

An example might look like this:

```python
import pandas as pd

from baybe.parameters import NumericalContinuousParameter
from baybe.searchspace import SearchSpace
from baybe.targets import NumericalTarget

searchspace = SearchSpace.from_product(
    [
        NumericalContinuousParameter(""p1"", [0, 1]),
        NumericalContinuousParameter(""p2"", [-1, 1]),
    ]
)
objective = NumericalTarget(""t1"", ""MAX"").to_objective()


def lookup(df: pd.DataFrame) -> pd.DataFrame:
    """"""Map parameter configurations to target values.""""""
    return pd.DataFrame({""t1"": df[""p1""] ** 2}, index=df.index)


lookup(searchspace.continuous.sample_uniform(10))
```","If I have data in array format, can I use it as a lookup function in the simulation?",":class: tip
If you already have a lookup callable available in an array-based format (for instance,
if your lookup values are generated using third-party code that works with array inputs
and outputs), you can effortlessly convert this callable into the required
dataframe-based format by applying our
{func}`~baybe.utils.dataframe.arrays_to_dataframes` decorator. 

For example, the above lookup can be equivalently created as follows:
```python
import numpy as np

from baybe.utils.dataframe import arrays_to_dataframes


@arrays_to_dataframes([""p1""], [""t1""])
def lookup(array: np.ndarray) -> np.ndarray:
    """"""The same lookup function in array logic.""""""
    return array**2
```",What decorator is used to convert a lookup callable into a dataframe-based format in BayBE's simulation package?,The `arrays_to_dataframes` decorator.
104,104,userguide_simulation_chunks_chunk_5,3,"# Simulation
## The Lookup Mechanism
### Using a Dataframe

When dealing with discrete search spaces, it is also possible to provide the lookup values in a tabular representation using a dataframe.
To be a valid lookup, the dataframe must have columns corresponding to all parameters and targets in the modeled domain.

An example might look as follows:

```python
import pandas as pd

from baybe.parameters import NumericalDiscreteParameter
from baybe.searchspace import SearchSpace
from baybe.targets import NumericalTarget

searchspace = SearchSpace.from_product(
    [
        NumericalDiscreteParameter(""p1"", [0, 1, 2, 3]),
        NumericalDiscreteParameter(""p2"", [1, 10, 100, 1000]),
    ]
)
objective = NumericalTarget(""t"", ""MAX"").to_objective()

lookup = pd.DataFrame.from_records(
    [
        {""p1"": 0, ""p2"": 100, ""t"": 23},
        {""p1"": 2, ""p2"": 10, ""t"": 5},
        {""p1"": 3, ""p2"": 1000, ""t"": 56},
    ]
)
```tip
Ideally, all possible parameter combinations should be measured and represented in the dataframe to ensure that a backtesting simulation produces a realistic assessment of performance.
However, this is an unrealistic assumption for most applications because search spaces are oftentimes exceedingly large.
As a consequence, it may well be the case that a provided dataframe contains the measurements of only some parameter configurations while the majority of combinations is not present (like in the example above).
To address this issue, BayBE provides various methods for managing these missing targets,
which can be configured using the {paramref}`~baybe.simulation.lookup.look_up_targets.impute_mode`
keyword of the respective simulation function.",No,,What must the dataframe have to be a valid lookup in a simulation?,The dataframe must have columns corresponding to all parameters and targets in the modeled domain.
105,105,userguide_simulation_chunks_chunk_6,7,"# Simulation
## The Lookup Mechanism
### Using `None`

When testing code, it can sometimes be helpful to have an âarbitraryâ lookup mechanism available without having to craft a custom one.
An example of when this is useful is when evaluating the actual lookup is too expensive and results in too long turnaround times (for instance, when the lookup is implemented by running complex code such as a computer simulation).
In these situations, using `None` as lookup can save valuable development time, which invokes the `add_fake_measurements()` utility behind the scenes to generate random target values for any given domain.",,,What utility is invoked when using `None` as a lookup mechanism in testing code?,`add_fake_measurements()`
106,106,userguide_simulation_chunks_chunk_7,8,"# Simulation
## Simulating a Single Experiment

The function [`simulate_experiment`]() is the most basic form of simulation.
It runs a single execution of a DoE loop for either a specific number of iteration or until the search space is fully observed.

For using this function, it is necessary to provide a [`campaign`](). Although technically not necessary, we advise to also always provide a lookup mechanisms since fake results will be produced if none is provided. It is possible to specify several additional parameters like the batch size, initial data or the number of DoE iterations that should be performed

```python
results = simulate_experiment(
    # Necessary
    campaign=campaign,
    # Technically optional but should always be set
    lookup=lookup,
    # Optional
    batch_size=batch_size,
    n_doe_iterations=n_doe_iterations,
    initial_data=initial_data,
    random_seed=random_seed,
    impute_mode=impute_mode,
    noise_percent=noise_percent,
)
```

This function returns a dataframe that contains the results. For details on the columns of this dataframe as well as the dataframes returned by the other functions discussed here, we refer to the documentation of the subpackage [here]().",,,What does the `simulate_experiment` function return?,A dataframe that contains the results.
107,107,userguide_simulation_chunks_chunk_8,9,"# Simulation
## Simulating Multiple Scenarios

The function [`simulate_scenarios`]() allows to specify multiple simulation settings at once.
Instead of a single campaign, this function expects a dictionary of campaigns, mapping scenario identifiers to `Campaign` objects.
In addition to the keyword arguments available for `simulate_experiment`, this function has two different keywords available:

1. `n_mc_iterations`: This can be used to perform multiple Monte Carlo runs with a single call. Multiple Monte Carlo runs are always advised to average out the effect of random effects such as the initial starting data.
2. `initial_data`: This can be used to provide a list of dataframe, where each dataframe is then used as initial data for an independent run. That is, the function performs one optimization loop per dataframe in this list.

Note that these two keywords are mutually exclusive.

```python
lookup = ...  # some reasonable lookup, e.g. a Callable
campaign1 = Campaign(...)
campaign2 = Campaign(...)
scenarios = {""Campaign 1"": campaign1, ""Campaign 2"": campaign2}

results = simulate_scenarios(
    scenarios=scenarios,
    lookup=lookup,
    batch_size=batch_size,
    n_doe_iterations=n_doe_iterations,
    n_mc_iterations=n_mc_iterations,
)
```","How do I simulate multiple scenarios? I�m interested in running multiple campaigns, can you show me how to do that?",,What are the two additional keywords available for the `simulate_scenarios` function?,`n_mc_iterations` and `initial_data`.
108,108,userguide_simulation_chunks_chunk_9,10,"# Simulation
## Simulating Transfer Learning

The function [`simulate_transfer_learning`]() partitions the search space into its tasks and simulates each task with the training data from the remaining tasks.

#### NOTE
Currently, this only supports discrete search spaces. See [`simulate_transfer_learning`]() for the reasons.

```python
task_param = TaskParameter(
    name=""Cell Line"",
    values=[""Liver Cell"", ""Brain Cell"", ""Skin Cell""],
)
# Define searchspace using a task parameter
searchspace = SearchSpace.from_product(parameters=[param1, param2, task_param])

# Create a suitable campaign
campaign = Campaign(searchspace=searchspace, objective=objective)

# Create a lookup dataframe. Note that this needs to have a column labeled ""Function""
# with values ""F1"" and ""F2""
lookup = DataFrame(...)

results = simulate_transfer_learning(
    campaign=campaign,
    lookup=lookup,
    batch_size=BATCH_SIZE,
    n_doe_iterations=N_DOE_ITERATIONS,
    n_mc_iterations=N_MC_ITERATIONS,
)
```",Can I use the `simulate_transfer_learning` function for continuous search spaces?,"No, only discrete spaces are supported currently",What does the function `simulate_transfer_learning` do?,It partitions the search space into its tasks and simulates each task with the training data from the remaining tasks.
109,109,userguide_surrogates_chunks_chunk_2,7,"# Surrogates

Surrogate models are used to model and estimate the unknown objective function of the
DoE campaign. BayBE offers a diverse array of surrogate models, while also allowing for
the utilization of custom models. All surrogate models are based upon the general
[`Surrogate`]() class. Some models even support transfer
learning, as indicated by the `supports_transfer_learning` attribute.

## Available Models

BayBE provides a comprehensive selection of surrogate models, empowering you to choose
the most suitable option for your specific needs. The following surrogate models are
available within BayBE:

* [`GaussianProcessSurrogate`]()
* [`BayesianLinearSurrogate`]()
* [`MeanPredictionSurrogate`]()
* [`NGBoostSurrogate`]()
* [`RandomForestSurrogate`]()

# Surrogates
## Multi-Output Modeling

Depending on the use case at hand, it may be necessary to model multiple output
variables simultaneously. However, not all surrogate types natively provide (joint)
predictive distributions for more than one variable, as indicated by their
`supports_multi_output` attribute.

In multi-output contexts, it may therefore be necessary to assemble several
single-output surrogates into a composite model to build a joint predictive model from
independent components for each output. BayBE provides two convenient mechanisms to
achieve this, both built upon the
`CompositeSurrogate` class:",,,What are the available surrogate models provided by BayBE?,"GaussianProcessSurrogate, BayesianLinearSurrogate, MeanPredictionSurrogate, NGBoostSurrogate, RandomForestSurrogate."
110,110,userguide_surrogates_chunks_chunk_4,4,"# Surrogates
## Multi-Output Modeling
### Surrogate Replication

The simplest way to construct a multi-output surrogate is to replicate a given
single-output model architecture for each of the existing output dimensions.

To replicate a given surrogate, you can either call its
`replicate()` method or use the
[`CompositeSurrogate.from_replication()`]()
convenience constructor:

```python
from baybe.surrogates import CompositeSurrogate, GaussianProcessSurrogate

composite_a = GaussianProcessSurrogate().replicate()
composite_b = CompositeSurrogate.from_replication(GaussianProcessSurrogate())

assert composite_a == composite_b
```

However, there are very few cases where such an explicit conversion is required. Because
using a single-output surrogate model in a multi-output context would trivially fail, and
because BayBE cares deeply about its usersâ lives, it automatically performs this conversion
for you behind the scenes:

<a id=""auto-replication""></a>:class: important

When using a single-output surrogate model in a multi-output context, BayBE
automatically replicates the surrogate on the fly.

The consequence of the above is that you can use the same model object regardless
of the modeling context and its multi-output capabilities.

There is *one* notable exception where an explicit replication may still make
sense: if you want to bypass the existing multi-output mechanics of a surrogate that is
inherently multi-output compatible.",Can I overwrite the auto-replication method to implement my own surrogate?,,How can you replicate a single-output surrogate model in a multi-output context using BayBE?,You can call its `replicate()` method or use the `CompositeSurrogate.from_replication()` constructor.
111,111,userguide_surrogates_chunks_chunk_5,3,"# Surrogates
## Multi-Output Modeling
### Composite Surrogates

An alternative to surrogate replication is to manually assemble your
`CompositeSurrogate`. This can be useful if you want
to

* use the same model architecture but with different settings for each output or
* use different architectures for the outputs to begin with.

```python
from baybe.surrogates import (
    CompositeSurrogate,
    GaussianProcessSurrogate,
    RandomForestSurrogate,
)

surrogate = CompositeSurrogate(
    {
        ""target_a"": GaussianProcessSurrogate(),
        ""target_b"": RandomForestSurrogate(),
    }
)
```

A noticeable difference to the replication approach is that manual assembly requires
the exact set of target variables to be known at the time the object is created.",No,,What is the purpose of manually assembling a CompositeSurrogate?,It allows the use of the same model architecture with different settings for each output or different architectures for the outputs.
112,112,userguide_surrogates_chunks_chunk_6,8,"# Surrogates
## Extracting the Model for Advanced Study

In principle, the surrogate model does not need to be a persistent object during
Bayesian optimization since each iteration performs a new fit anyway. However, for
advanced study, such as investigating the posterior predictions, acquisition functions
or feature importance, it can be useful to directly extract the current surrogate model.

For this, BayBE provides the `get_surrogate` method, which is available for the
[`Campaign`]() or for
[recommenders]().
Below an example of how to utilize this in conjunction with the popular SHAP package:

```python
# Assuming we already have a campaign created and measurements added
data = campaign.measurements[[p.name for p in campaign.parameters]]
model = lambda x: campaign.get_surrogate().posterior(x).mean

# Apply SHAP
explainer = shap.Explainer(model, data)
shap_values = explainer(data)
shap.plots.bar(shap_values)
``` :class: note
Currently, ``get_surrogate`` always returns the surrogate model with respect to the
transformed target(s) / objective. This means that if you are using a
``SingleTargetObjective`` with a transformed target or a ``DesirabilityObjective``, the
model's output will correspond to the transformed quantities and not the original
untransformed target(s). If you are using the model for subsequent analysis this should
be kept in mind.",,,What method does BayBE provide to extract the current surrogate model during Bayesian optimization?,The `get_surrogate` method.
113,113,userguide_surrogates_chunks_chunk_7,9,"# Surrogates
## Using Custom Models

BayBE goes one step further by allowing you to incorporate custom models based on the
ONNX architecture. Note however that these cannot be retrained. For a detailed
explanation on using custom models, refer to the comprehensive examples provided in the
corresponding [example folder]().",Is there support for surrogates? Could you tell me about custom model support?,,Can custom models based on the ONNX architecture be retrained in BayBE?,"No, custom models cannot be retrained in BayBE."
114,114,userguide_targets_chunks_chunk_2,4,"# Targets
Targets play a crucial role as the connection between observables measured in an
experiment and the machine learning core behind BayBE.
In general, it is expected that you create one [`Target`]()
object for each of your observables.
The way BayBE treats multiple targets is then controlled via the
[`Objective`](objectives.md).

## NumericalTarget

Besides the `name`, a [`NumericalTarget`]()
has the following attributes:

* **The optimization** `mode`: Specifies whether we want to minimize/maximize
  the target or whether we want to match a specific value.
* **Bounds**: Defines `bounds` that constrain the range of target values.
* **A** `transformation` **function**: When bounds are provided, this is
  used to map target values into the [0, 1] interval.

","I have a numerical target that ranges from �inf to +inf, do I need to scale it?","If bounds are provided, provide a transformation function to map target values into the [0,1] interval",What attributes does a NumericalTarget have in BayBE?,"A NumericalTarget has the optimization mode, bounds, and a transformation function."
115,115,userguide_targets_chunks_chunk_3,7,"# Targets
## NumericalTarget
### MIN and MAX mode

Here are two examples for simple maximization and minimization targets:

```python
from baybe.targets import NumericalTarget, TargetMode, TargetTransformation

max_target = NumericalTarget(
    name=""Target_1"",
    mode=TargetMode.MAX,  # can also be provided as string ""MAX""
)

min_target = NumericalTarget(
    name=""Target_2"",
    mode=""MIN"",  # can also be provided as TargetMode.MIN
    bounds=(0, 100),  # optional
    transformation=TargetTransformation.LINEAR,  # optional, will be applied if bounds are not None
)
```# Targets
## Limitations

#### IMPORTANT
`NumericalTarget` enables many use cases due to the real-valued nature of most
measurements. But it can also be used to model categorical targets if they are ordinal.
For example: If your experimental outcome is a categorical ranking into âbadâ,
âmediocreâ and âgoodâ, you could use a `NumericalTarget` with bounds (1, 3), where the
categories correspond to values 1, 2 and 3 respectively.
If your target category is not ordinal, the transformation into a numerical target is
not straightforward, which is a current limitation of BayBE.
We are looking into adding more target options in the future.",,,What are the possible modes for a NumericalTarget in BayBE?,MAX and MIN.
116,116,userguide_targets_chunks_chunk_4,10,"# Targets
## NumericalTarget
### MATCH mode

If you want to match a desired value, the `TargetMode.MATCH` mode is the right choice.
In this mode, `bounds` are required and different transformations compared to `MIN`
and `MAX` modes are allowed.

Assume we want to instruct BayBE to match a value of 50 in a target.
We simply need to choose the bounds so that the midpoint is the desired value.
The spread of the bounds interval defines how fast the acceptability of a measurement
falls off away from the match value, also depending on the choice of `transformation`.

In the example below, `match_targetA` will treat all values < 45 and > 55 as
equally bad, while `match_targetB` is more forgiving in that it chooses a bell curve
transformation instead of a triangular one, and also uses a wider interval of bounds.
Both targets are configured such that the midpoint of `bounds` (in this case 50)
becomes the optimal value:

```python
from baybe.targets import NumericalTarget, TargetMode, TargetTransformation

match_targetA = NumericalTarget(
    name=""Target_3A"",
    mode=TargetMode.MATCH,
    bounds=(45, 55),  # mandatory in MATCH mode
    transformation=TargetTransformation.TRIANGULAR,  # optional, applied if bounds are not None
)
match_targetB = NumericalTarget(
    name=""Target_3B"",
    mode=""MATCH"",
    bounds=(0, 100),  # mandatory in MATCH mode
    transformation=""BELL"",  # can also be provided as TargetTransformation.BELL
)
```

Targets are used in nearly all [examples]().",What is the keyword that I need to use when using a specific target mode?,The keyword is `mode`.,What is the optimal value for the bounds in MATCH mode for `match_targetA`?,50
117,117,userguide_transfer_learning_chunks_chunk_1,9,"# Transfer Learning

BayBE offers the possibility to mix data from multiple, *similar but not identical*
campaigns in order to accelerate optimization â a procedure called **transfer learning**.
This feature is automatically enabled when using a
[Gaussian process surrogate model]()
in combination with a [`TaskParameter`](). :class: note
In the scientific community, the term **transfer learning** is used in many
different ways.
Within BayBE, it refers to combining data from multiple campaigns that are from similar
contexts, which we also refer as **tasks**.
Depending on the field, this might also be known as **contextual learning**.",Does BayBE support transfer learning? Does BayBE support contextual learning? Can I mix data from multiple sources in BayBE?,,What is the term used in BayBE for the procedure that combines data from multiple similar campaigns to accelerate optimization?,Transfer learning
