QA_id,content,questionA,questionB
94,"# Serialization

BayBE is shipped with a sophisticated serialization engine that allows to unstructure
its objects into basic types and seamlessly reassemble them afterward.
This enables a variety of advanced workflows, such as:

* Persisting objects for later use
* Transmission and processing outside the Python ecosystem
* Interaction with APIs and databases
* Writing âconfigurationâ files

Some of these workflows are demonstrated in the sections below.

## JSON (de-)serialization

Most BayBE objects can be conveniently serialized into an equivalent JSON
representation by calling their
`to_json` method.
The obtained JSON string can then be deserialized via the
`from_json` method
of the corresponding class, which yields an âequivalent copyâ of the original object.

For example:

```python
from baybe.parameters import CategoricalParameter

parameter = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
json_string = parameter.to_json()
reconstructed = CategoricalParameter.from_json(json_string)
assert parameter == reconstructed
```

This form of roundtrip serialization can be used, for instance, to persist objects
for long-term storage, but it also provides an easy way to âmoveâ existing objects
between Python sessions by executing the deserializing step in a different context
than the serialization step.",Does BayBE offer serialization?,How can BayBE objects be serialized and deserialized to and from JSON?
95,"# Serialization
## Deserialization from configuration strings

The workflow described [above](#json-serialization) most naturally applies to
situations where we start inside the Python ecosystem and want to make an object
leave the running session.
However, in many cases, we would like to kickstart the process from the other end and
rather specify a BayBE object **outside** Python for use in a later computation.
Common examples are when we wish to interact with an API or simply want to persist
a certain BayBE component in the form of a âconfigurationâ file.

The following sections give an overview of the flexibilities that are offered for this
task. Of course, the underlying concepts can be mixed and matched arbitrarily.# Serialization
## Deserialization from configuration strings
### Basic string assembly

Writing a configuration for a certain BayBE object in form of a serialization string is
easy:

1. Select your desired object class
2. Identify the arguments expected by one of its constructors (see also [here](#alternative-constructors))
3. Pack them into a JSON string that mirrors the constructor signature

Letâs have a more detailed look, for instance, at the serialization string from
the [above example](#json-serialization), this time assuming we wanted to assemble
the string manually.
For this purpose, we have a peek at the signature of the `__init__` method of
`CategoricalParameter`
and notice that it has two required arguments, `name` and `values`.
We specify these accordingly as separate fields in the JSON string:

```python
from baybe.parameters import CategoricalParameter

parameter_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
via_json = CategoricalParameter.from_json(parameter_json)
via_init = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])

assert via_json == via_init
```",I want to use a parameter for an API call later. Is it possible to create a JSON string directly?,How do you deserialize a BayBE object from a configuration string?
96,"# Serialization
## Deserialization from configuration strings
### Using default values

Just like default values can be omitted when working in Python,
they can be omitted from the corresponding serialization string:

```python
from baybe.parameters import CategoricalParameter

p1 = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
p2 = CategoricalParameter(name=""Setting"", values=[""low"", ""high""], encoding=""OHE"")

p1_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
p2_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""],
    ""encoding"": ""OHE""
}
""""""

p1_via_json = CategoricalParameter.from_json(p1_json)
p2_via_json = CategoricalParameter.from_json(p2_json)

assert p1 == p1_via_json == p2 == p2_via_json
```",What happens if I omit a value from the serialization string?,How can default values be handled when deserializing a CategoricalParameter from a configuration string in BayBE?
98,"# Serialization
## Deserialization from configuration strings
### The type field

Due to the leading design philosophy behind BayBE to provide its users easy access
to a broad range of tools, you typically have the choice between several modelling
alternatives when building your objects.
For example, when describing the degrees of freedom of your experimental campaign,
you can chose from several different [parameter types](parameters.md).

While this offers great flexibility, it comes with a challenge for deserialization
because you cannot know a priori which concrete object subclass is contained
in an incoming serialization string on the receiving end.
Instead, you oftentimes need to be able to process the incoming string dynamically.

For example, consider the following string, which perfectly mirrors the signatures of
both
`CategoricalParameter` and
`TaskParameter`:

```python
parameter_json = """"""
{
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
```

Unless you are aware of the specific purpose for which the string was created,
calling one of the classesâ constructors directly is impossible because you
simply do not know which one to chose.
A similar situation arises with [nested objects](#nested-objects) because resorting to
an explicit constructor call of a hand-selected subclass is only possible at the
highest level of the hierarchy, whereas the inner object types would remain unspecified.

The problem can be easily circumvented using an explicit subclass resolution
mechanism, i.e., by tagging the respective subclass in an additional `type` field that
holds the classâ name.
This allows to deserialize the object from the corresponding base class instead
(i.e., `Parameter` class in the example below),
mirroring the flexibility of specifying subtypes to your configuration file:

```python
from baybe.parameters.base import Parameter
from baybe.parameters import CategoricalParameter, TaskParameter

categorical_parameter = CategoricalParameter(name=""Setting"", values=[""low"", ""high""])
categorical_parameter_json = """"""
{
    ""type"": ""CategoricalParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `CategoricalParameter.from_json`:
categorical_parameter_reconstructed = Parameter.from_json(categorical_parameter_json)
assert categorical_parameter == categorical_parameter_reconstructed

task_parameter = TaskParameter(name=""Setting"", values=[""low"", ""high""])
task_parameter_json = """"""
{
    ""type"": ""TaskParameter"",
    ""name"": ""Setting"",
    ""values"": [""low"", ""high""]
}
""""""
# NOTE: we can use `Parameter.from_json` instead of `TaskParameter.from_json`:
task_parameter_reconstructed = Parameter.from_json(task_parameter_json)
assert task_parameter == task_parameter_reconstructed
```

#### NOTE
When serializing an object that belongs to a class hierarchy, BayBE automatically
injects the `type` field into the serialization string to enable frictionless deserialization
at a later stage.","What is the purpose of the ""type"" field in BayBE's serialization strings?","When deserializing nested objects with different object types, how do you make sure they are deserialized to the correct object subclasses?"
99,"# Serialization
## Deserialization from configuration strings
### Using abbreviations

Classes that have an `abbreviation` class variable defined can be conveniently
deserialized using the corresponding abbreviation string:

```python
from baybe.acquisition.base import AcquisitionFunction

acqf1 = AcquisitionFunction.from_json('{""type"": ""UpperConfidenceBound""}')
acqf2 = AcquisitionFunction.from_json('{""type"": ""UCB""}')

assert acqf1 == acqf2
```

<a id=""nested-objects""></a>",How can classes with an abbreviation class variable be deserialized in BayBE?,How to deserialize a class with abbreviated class variables?
100,"# Serialization
## Deserialization from configuration strings
### Nesting objects

BayBE objects typically appear as part of a larger object hierarchy.
For instance, a
`SearchSpace` can hold one or several
`Parameters`, just like an
`Objective` can hold one or several
`Targets`.
This hierarchical structure can be directly replicated in the serialization string:

```python
from baybe.objectives import DesirabilityObjective
from baybe.targets import NumericalTarget

objective = DesirabilityObjective(
    targets=[
        NumericalTarget(name=""T1"", mode=""MAX"", bounds=(-1, 1)),
        NumericalTarget(name=""T2"", mode=""MIN"", bounds=(0, 1)),
    ],
    weights=[0.1, 0.9],
    scalarizer=""MEAN"",
)

objective_json = """"""
{
    ""targets"": [
        {
            ""type"": ""NumericalTarget"",
            ""name"": ""T1"",
            ""mode"": ""MAX"",
            ""bounds"": [-1.0, 1.0]
        },
        {
            ""type"": ""NumericalTarget"",
            ""name"": ""T2"",
            ""mode"": ""MIN"",
            ""bounds"": [0.0, 1.0]
        }
    ],
    ""weights"": [0.1, 0.9],
    ""scalarizer"": ""MEAN""
}
""""""

assert objective == DesirabilityObjective.from_json(objective_json)
```

<a id=""alternative-constructors""></a>",how do I format my input objective?,How do I encode targets in BayBE? How do I set different weights for targets? I have multiple targets
101,"# Simulation
BayBE offers multiple functionalities to âsimulateâ experimental campaigns with a given lookup mechanism. This user guide briefly introduces how to use the methods available in our [simulation subpackage]().

For a wide variety of applications of this functionality, we refer to the corresponding [examples]().

## Terminology: What do we mean by âSimulationâ?

The term âsimulationâ can have two slightly different interpretations, depending on the applied context.

1. It can refer to âbacktestingâ a particular experimental campaign on a fixed finite dataset.
   Thus, âsimulationâ means investigating what experimental trajectory we would have observed if we had used different setups or recommenders and restricted the possible parameter configurations to those contained in the dataset.
2. It can refer to the simulation of an *actual* DOE loop, i.e., recommending experiments and retrieving the corresponding measurements, where the loop closure is realized in the form of a callable (black-box) function that can be queried during the optimization to provide target values. Such a callable could for instance be a simple analytical function or a numerical solver of a set of differential equations that describe a physical system.","What are the two main interpretations of ""simulation"" in BayBE?",Is there a difference in how different types of simulation are handled by BayBE?
102,"# Simulation
## The Lookup Mechanism

BayBEâs simulation package enables a wide range of use cases and can even be used for âoracle predictionsâ.
This is made possible through the flexible use of lookup mechanisms, which act as the loop-closing element of an optimization loop.

Lookups can be provided in a variety of ways, by using fixed data sets, analytical functions, or any other form of black-box callable.
In all cases, their role is the same: to retrieve target values for parameter configurations suggested by the recommendation engine.# Simulation
## The Lookup Mechanism
### Using a `Callable`

Using a `Callable` is the most general way to provide :class: tip
If you already have a lookup callable available in an array-based format (for instance,
if your lookup values are generated using third-party code that works with array inputs
and outputs), you can effortlessly convert this callable into the required
dataframe-based format by applying our
{func}`~baybe.utils.dataframe.arrays_to_dataframes` decorator. 

For example, the above lookup can be equivalently created as follows:
```python
import numpy as np

from baybe.utils.dataframe import arrays_to_dataframes


@arrays_to_dataframes([""p1""], [""t1""])
def lookup(array: np.ndarray) -> np.ndarray:
    """"""The same lookup function in array logic.""""""
    return array**2
```a lookup mechanism.
Any `Callable` is a suitable lookup as long as it acce:class: tip
If you already have a lookup callable available in an array-based format (for instance,
if your lookup values are generated using third-party code that works with array inputs
and outputs), you can effortlessly convert this callable into the required
dataframe-based format by applying our
{func}`~baybe.utils.dataframe.arrays_to_dataframes` decorator. 

For example, the above lookup can be equivalently created as follows:
```python
import numpy as np

from baybe.utils.dataframe import arrays_to_dataframes


@arrays_to_dataframes([""p1""], [""t1""])
def lookup(array: np.ndarray) -> np.ndarray:
    """"""The same lookup function in array logic.""""""
    return array**2
```pts a dataframe containing parameter configurations and returns the corresponding target values.
More specifically:

- The input is expected to be a dataframe whose column names contain the parameter names and whose rows represent valid parameter configurations.
- The returned output must be a dataframe whose column names contain the target names and whose rows represent valid target values.
- The indices of the input and output dataframes must match.

An example might look like this:

```python
import pandas as pd

from baybe.parameters import NumericalContinuousParameter
from baybe.searchspace import SearchSpace
from baybe.targets import NumericalTarget

searchspace = SearchSpace.from_product(
    [
        NumericalContinuousParameter(""p1"", [0, 1]),
        NumericalContinuousParameter(""p2"", [-1, 1]),
    ]
)
objective = NumericalTarget(""t1"", ""MAX"").to_objective()


def lookup(df: pd.DataFrame) -> pd.DataFrame:
    """"""Map parameter configurations to target values.""""""
    return pd.DataFrame({""t1"": df[""p1""] ** 2}, index=df.index)


lookup(searchspace.continuous.sample_uniform(10))
```","If I have data in array format, can I use it as a lookup function in the simulation?",What decorator can be used in BayBE to convert an array-based lookup callable into the required dataframe-based format?
105,"# Simulation
## Simulating a Single Experiment

The function [`simulate_experiment`]() is the most basic form of simulation.
It runs a single execution of a DoE loop for either a specific number of iteration or until the search space is fully observed.

For using this function, it is necessary to provide a [`campaign`](). Although technically not necessary, we advise to also always provide a lookup mechanisms since fake results will be produced if none is provided. It is possible to specify several additional parameters like the batch size, initial data or the number of DoE iterations that should be performed

```python
results = simulate_experiment(
    # Necessary
    campaign=campaign,
    # Technically optional but should always be set
    lookup=lookup,
    # Optional
    batch_size=batch_size,
    n_doe_iterations=n_doe_iterations,
    initial_data=initial_data,
    random_seed=random_seed,
    impute_mode=impute_mode,
    noise_percent=noise_percent,
)
```

This function returns a dataframe that contains the results. For details on the columns of this dataframe as well as the dataframes returned by the other functions discussed here, we refer to the documentation of the subpackage [here]().",How to simulate a single experiment?,What does the simulate_experiment function in BayBE return?
106,"# Simulation
## Simulating Multiple Scenarios

The function [`simulate_scenarios`]() allows to specify multiple simulation settings at once.
Instead of a single campaign, this function expects a dictionary of campaigns, mapping scenario identifiers to `Campaign` objects.
In addition to the keyword arguments available for `simulate_experiment`, this function has two different keywords available:

1. `n_mc_iterations`: This can be used to perform multiple Monte Carlo runs with a single call. Multiple Monte Carlo runs are always advised to average out the effect of random effects such as the initial starting data.
2. `initial_data`: This can be used to provide a list of dataframe, where each dataframe is then used as initial data for an independent run. That is, the function performs one optimization loop per dataframe in this list.

Note that these two keywords are mutually exclusive.

```python
lookup = ...  # some reasonable lookup, e.g. a Callable
campaign1 = Campaign(...)
campaign2 = Campaign(...)
scenarios = {""Campaign 1"": campaign1, ""Campaign 2"": campaign2}

results = simulate_scenarios(
    scenarios=scenarios,
    lookup=lookup,
    batch_size=batch_size,
    n_doe_iterations=n_doe_iterations,
    n_mc_iterations=n_mc_iterations,
)
```","How do I simulate multiple scenarios? Im interested in running multiple campaigns, can you show me how to do that?",What are the two mutually exclusive keyword arguments available in the simulate_scenarios function in BayBE?
107,"# Simulation
## Simulating Transfer Learning

The function [`simulate_transfer_learning`]() partitions the search space into its tasks and simulates each task with the training data from the remaining tasks.

#### NOTE
Currently, this only supports discrete search spaces. See [`simulate_transfer_learning`]() for the reasons.

```python
task_param = TaskParameter(
    name=""Cell Line"",
    values=[""Liver Cell"", ""Brain Cell"", ""Skin Cell""],
)
# Define searchspace using a task parameter
searchspace = SearchSpace.from_product(parameters=[param1, param2, task_param])

# Create a suitable campaign
campaign = Campaign(searchspace=searchspace, objective=objective)

# Create a lookup dataframe. Note that this needs to have a column labeled ""Function""
# with values ""F1"" and ""F2""
lookup = DataFrame(...)

results = simulate_transfer_learning(
    campaign=campaign,
    lookup=lookup,
    batch_size=BATCH_SIZE,
    n_doe_iterations=N_DOE_ITERATIONS,
    n_mc_iterations=N_MC_ITERATIONS,
)
```",Can I use the `simulate_transfer_learning` function for continuous search spaces?,What type of search spaces does the simulate_transfer_learning function currently support in BayBE?
108,"# Surrogates

Surrogate models are used to model and estimate the unknown objective function of the
DoE campaign. BayBE offers a diverse array of surrogate models, while also allowing for
the utilization of custom models. All surrogate models are based upon the general
[`Surrogate`]() class. Some models even support transfer
learning, as indicated by the `supports_transfer_learning` attribute.

## Available Models

BayBE provides a comprehensive selection of surrogate models, empowering you to choose
the most suitable option for your specific needs. The following surrogate models are
available within BayBE:

* [`GaussianProcessSurrogate`]()
* [`BayesianLinearSurrogate`]()
* [`MeanPredictionSurrogate`]()
* [`NGBoostSurrogate`]()
* [`RandomForestSurrogate`]()

# Surrogates
## Multi-Output Modeling

Depending on the use case at hand, it may be necessary to model multiple output
variables simultaneously. However, not all surrogate types natively provide (joint)
predictive distributions for more than one variable, as indicated by their
`supports_multi_output` attribute.

In multi-output contexts, it may therefore be necessary to assemble several
single-output surrogates into a composite model to build a joint predictive model from
independent components for each output. BayBE provides two convenient mechanisms to
achieve this, both built upon the
`CompositeSurrogate` class:",What surrogate models are available in BayBE?,Can I do transfer learning in BayBE?
109,"# Surrogates
## Multi-Output Modeling
### Surrogate Replication

The simplest way to construct a multi-output surrogate is to replicate a given
single-output model architecture for each of the existing output dimensions.

To replicate a given surrogate, you can either call its
`replicate()` method or use the
[`CompositeSurrogate.from_replication()`]()
convenience constructor:

```python
from baybe.surrogates import CompositeSurrogate, GaussianProcessSurrogate

composite_a = GaussianProcessSurrogate().replicate()
composite_b = CompositeSurrogate.from_replication(GaussianProcessSurrogate())

assert composite_a == composite_b
```

However, there are very few cases where such an explicit conversion is required. Because
using a single-output surrogate model in a multi-output context would trivially fail, and
because BayBE cares deeply about its usersâ lives, it automatically performs this conversion
for you behind the scenes:

<a id=""auto-replication""></a>:class: important

When using a single-output surrogate model in a multi-output context, BayBE
automatically replicates the surrogate on the fly.

The consequence of the above is that you can use the same model object regardless
of the modeling context and its multi-output capabilities.

There is *one* notable exception where an explicit replication may still make
sense: if you want to bypass the existing multi-output mechanics of a surrogate that is
inherently multi-output compatible.",How does BayBE handle single-output surrogate models used in a multi-output context?,Can I overwrite the auto-replication method to implement my own surrogate?
111,"# Surrogates
## Extracting the Model for Advanced Study

In principle, the surrogate model does not need to be a persistent object during
Bayesian optimization since each iteration performs a new fit anyway. However, for
advanced study, such as investigating the posterior predictions, acquisition functions
or feature importance, it can be useful to directly extract the current surrogate model.

For this, BayBE provides the `get_surrogate` method, which is available for the
[`Campaign`]() or for
[recommenders]().
Below an example of how to utilize this in conjunction with the popular SHAP package:

```python
# Assuming we already have a campaign created and measurements added
data = campaign.measurements[[p.name for p in campaign.parameters]]
model = lambda x: campaign.get_surrogate().posterior(x).mean

# Apply SHAP
explainer = shap.Explainer(model, data)
shap_values = explainer(data)
shap.plots.bar(shap_values)
``` :class: note
Currently, ``get_surrogate`` always returns the surrogate model with respect to the
transformed target(s) / objective. This means that if you are using a
``SingleTargetObjective`` with a transformed target or a ``DesirabilityObjective``, the
model's output will correspond to the transformed quantities and not the original
untransformed target(s). If you are using the model for subsequent analysis this should
be kept in mind.",Can I reference the current surrogate model to use it outside of the standard optimization loop?,What method does BayBE provide to extract the current surrogate model from a campaign?
112,"# Surrogates
## Using Custom Models

BayBE goes one step further by allowing you to incorporate custom models based on the
ONNX architecture. Note however that these cannot be retrained. For a detailed
explanation on using custom models, refer to the comprehensive examples provided in the
corresponding [example folder]().",Can custom ONNX models be retrained in BayBE?,Is there support for surrogates? Could you tell me about custom model support?
113,"# Targets
Targets play a crucial role as the connection between observables measured in an
experiment and the machine learning core behind BayBE.
In general, it is expected that you create one [`Target`]()
object for each of your observables.
The way BayBE treats multiple targets is then controlled via the
[`Objective`](objectives.md).

## NumericalTarget

Besides the `name`, a [`NumericalTarget`]()
has the following attributes:

* **The optimization** `mode`: Specifies whether we want to minimize/maximize
  the target or whether we want to match a specific value.
* **Bounds**: Defines `bounds` that constrain the range of target values.
* **A** `transformation` **function**: When bounds are provided, this is
  used to map target values into the [0, 1] interval.

","What attribute of a NumericalTarget in BayBE specifies whether to minimize, maximize, or match a specific value?","I have a numerical target that ranges from inf to +inf, do I need to scale it?"
114,"# Targets
## NumericalTarget
### MIN and MAX mode

Here are two examples for simple maximization and minimization targets:

```python
from baybe.targets import NumericalTarget, TargetMode, TargetTransformation

max_target = NumericalTarget(
    name=""Target_1"",
    mode=TargetMode.MAX,  # can also be provided as string ""MAX""
)

min_target = NumericalTarget(
    name=""Target_2"",
    mode=""MIN"",  # can also be provided as TargetMode.MIN
    bounds=(0, 100),  # optional
    transformation=TargetTransformation.LINEAR,  # optional, will be applied if bounds are not None
)
```# Targets
## Limitations

#### IMPORTANT
`NumericalTarget` enables many use cases due to the real-valued nature of most
measurements. But it can also be used to model categorical targets if they are ordinal.
For example: If your experimental outcome is a categorical ranking into âbadâ,
âmediocreâ and âgoodâ, you could use a `NumericalTarget` with bounds (1, 3), where the
categories correspond to values 1, 2 and 3 respectively.
If your target category is not ordinal, the transformation into a numerical target is
not straightforward, which is a current limitation of BayBE.
We are looking into adding more target options in the future.",Can NumericalTarget in BayBE be used for modeling categorical targets?,How to specify temperature as a parameter for my experiment?
115,"# Targets
## NumericalTarget
### MATCH mode

If you want to match a desired value, the `TargetMode.MATCH` mode is the right choice.
In this mode, `bounds` are required and different transformations compared to `MIN`
and `MAX` modes are allowed.

Assume we want to instruct BayBE to match a value of 50 in a target.
We simply need to choose the bounds so that the midpoint is the desired value.
The spread of the bounds interval defines how fast the acceptability of a measurement
falls off away from the match value, also depending on the choice of `transformation`.

In the example below, `match_targetA` will treat all values < 45 and > 55 as
equally bad, while `match_targetB` is more forgiving in that it chooses a bell curve
transformation instead of a triangular one, and also uses a wider interval of bounds.
Both targets are configured such that the midpoint of `bounds` (in this case 50)
becomes the optimal value:

```python
from baybe.targets import NumericalTarget, TargetMode, TargetTransformation

match_targetA = NumericalTarget(
    name=""Target_3A"",
    mode=TargetMode.MATCH,
    bounds=(45, 55),  # mandatory in MATCH mode
    transformation=TargetTransformation.TRIANGULAR,  # optional, applied if bounds are not None
)
match_targetB = NumericalTarget(
    name=""Target_3B"",
    mode=""MATCH"",
    bounds=(0, 100),  # mandatory in MATCH mode
    transformation=""BELL"",  # can also be provided as TargetTransformation.BELL
)
```

Targets are used in nearly all [examples]().","In BayBE's NumericalTarget MATCH mode, what determines the optimal target value?",What is the keyword that I need to use when using a specific target mode?
116,"# Transfer Learning

BayBE offers the possibility to mix data from multiple, *similar but not identical*
campaigns in order to accelerate optimization â a procedure called **transfer learning**.
This feature is automatically enabled when using a
[Gaussian process surrogate model]()
in combination with a [`TaskParameter`](). :class: note
In the scientific community, the term **transfer learning** is used in many
different ways.
Within BayBE, it refers to combining data from multiple campaigns that are from similar
contexts, which we also refer as **tasks**.
Depending on the field, this might also be known as **contextual learning**.",Does BayBE support transfer learning? Does BayBE support contextual learning? Can I mix data from multiple sources in BayBE?,What does transfer learning mean in BayBE?
117,"
## Unlocking Data Treasures Through Transfer Learning

A straightforward approach to combining data from different campaigns is to quantify
the differences between their contexts via one or few explicitly measured parameters
and then constraining these parameters in the active campaign to
the relevant context.

Examples where this is possible:

* **Optimization of a chemical reaction at different temperatures:**<br />
  \\\\
  Data obtained from a chemical reaction optimized at a certain temperature can be used
  in a new campaign, where the same reaction needs to be optimized again at a different
  temperature.
* **Optimization of a simulation involving a particle size:**<br />
  \\\\
  Data obtained at a smaller particle size can be utilized when starting a new
  optimization for a larger particle size or vice versa.

In these examples, the temperature and the particle size take the
role of *aligning* the individual measurement campaigns along their corresponding
context dimension. That is, the context is static *within* each campaign
(i.e., each campaign is executed at its fixed context parameter value) but the
parameter establishes an explicit relationship between the data gathered *across*
campaigns. Transfer of knowledge from one campaign to another can thus simply happen
through the existing mechanisms of a surrogate model by feeding the context
parameter as an additional regular input to the model.

Unfortunately, there are many situations where it can be difficult to quantify the
differences between the campaigns via explicit context parameters in the first place.
This might be the case if the parameters distinguishing the contexts

1. have not been recorded and cannot be measured anymore,
2. are too many and explicitly modelling them is out of question or
3. are simply unknown.

Examples for situations where explicit quantification of the context can be difficult:

* **Cell culture media optimization for different cell types:**<br />
  \\\\
  Cell types differ among many possible descriptors, and it is not known a priori
  which ones are relevant to a newly started campaign.
* **Optimization in industrial black-box contexts:**<br />
  \\\\
  When materials (such as cell lines or complex substances) stem from customers,
  they can come uncharacterized.
* **Transfer of a complicated process to another location:**<br />
  \\\\
  The transferred machinery will likely require a new calibration/optimization, which
  could benefit from the other locationâs data. However, is not necessarily clear what
  parameters differentiate the location context.

**Transfer learning** in BayBE offers a solution for situations such as the latter,
because it abstracts each context change between campaigns into a single dimension
encoded by a [`TaskParameter`]().
Over the course of an ongoing campaign, the relationship between current campaign data
and data from previous campaigns can then be *learned* instead of requiring hard-coded
context parameters, effectively enabling you to utilize your previous data through
an additional machine learning model component.
In many situations, this can unlock data treasures coming from similar but not identical
campaigns accumulated over many years.:class: important
Because of the need to *learn* the relationship between tasks, transfer learning is
not a magic method for zero-shot learning.
For effective information transfer, it will always need data from the ongoing campaign
to understand how other campaigns' data are related.
Otherwise, it can only build upon general patterns/trends identified in the previous
campaigns, without knowing if these patterns actually reoccur in the new campaign.
(**Note:** This can still help to jump-start the new campaign since the most influential
parameter configurations from old campaigns will then drive the initial exploration.)
Overall, if correlated task data are provided, the optimization of new campaigns
can experience a dramatic speedup.:class: warning
Because of the ability to learn the task relationships, it might be tempting to add
arbitrary data to a transfer learning enabled campaigns. We caution against this, as
uncorrelated data can actually decrease the performance of the optimization. Even a
simple preliminary correlation filter to find suitable contexts can already increase
robustness.",What does BayBE use to abstract context changes between campaigns in transfer learning when explicit context parameters are unavailable?,"Can I use only old transfer-learning data in my campaign, without new experiment results?"
118,"# Transfer Learning
## The Role of the TaskParameter

The [`TaskParameter`]() is used to âmarkâ the context of individual experiments and thus
to âalignâ different campaigns along their context dimension.
The set of all possible contexts is provided upon the initialization of a
[`TaskParameter`]() by providing them as `values`.
In the following example, the context might be one of several reactors in which
a chemical experiments can be conducted.

```python
from baybe.parameters import TaskParameter

TaskParameter(name=""Reactor"", values=[""ReactorA"", ""ReactorB"", ""ReactorC""])
```

If not specified further, a campaign using the [`TaskParameter`]() as specified above
would now make recommendations for all possible values of the parameter. Using the
`active_values` argument upon initialization, this behavior can be changed such that
the `campaign` only makes recommendations for the corresponding values.

The following example models a situation where experimentation data from three
different reactors are available, but new experiments should only be conducted in
`ReactorC`.

```python
from baybe.parameters import TaskParameter

TaskParameter(
    name=""Reactor"",
    values=[""ReactorA"", ""ReactorB"", ""ReactorC""],
    active_values=[""ReactorC""],
)
```

The same pattern can be easily applied to other scenarios such as changing substrates
(while screening the same reaction conditions) or formulating mixtures for different cell lines:

```python
TaskParameter(
    name=""Substrate"",
    values=[""3,5-dimethylisoxazole"", ""benzo[d]isoxazole"", ""5-methylisoxazole""],
    active_values=[""3,5-dimethylisoxazole""],
)
TaskParameter(
    name=""Cell_Line"",
    values=[""Liver cell"", ""Heart cell"", ""Hamster brain cell""],
    active_values=[""Liver cell""],
)
```",How can you restrict BayBE experiment recommendations to only a subset of TaskParameter values?,Can I do transfer learning in BayBE?
119,"# Utilities
BayBE comes with a set of useful functions that can make your life easier in certain
scenarios.

## Search Space Memory Estimation

In search spaces that have discrete parts, the memory needed to store the respective
data can become excessively large as the number of points grows with the amount of
possible combinations arising form all discrete parameter values.

The [`SearchSpace.estimate_product_space_size`]()
and [`SubspaceDiscrete.estimate_product_space_size`]()
utilities allow estimating the memory needed to represent the discrete subspace.
They return a [`MemorySize`]() object that
contains some relevant estimates:

```python
import numpy as np

from baybe.parameters import NumericalDiscreteParameter
from baybe.searchspace import SearchSpace

# This creates 10 parameters with 20 values each.
# The resulting space would have 20^10 entries, requiring around 745 TB of memory for
# both experimental and computational representation of the search space.
parameters = [
    NumericalDiscreteParameter(name=f""p{k + 1}"", values=np.linspace(0, 100, 20))
    for k in range(10)
]

# Estimate the required memory for such a space
mem_estimate = SearchSpace.estimate_product_space_size(parameters)

# Print quantities of interest
print(""Experimental Representation"")
print(f""Estimated size: {mem_estimate.exp_rep_human_readable}"")
print(f""Estimated size in Bytes: {mem_estimate.exp_rep_bytes}"")
print(f""Expected data frame shape: {mem_estimate.exp_rep_shape}"")

print(""Computational Representation"")
print(f""Estimated size: {mem_estimate.comp_rep_human_readable}"")
print(f""Estimated size in Bytes: {mem_estimate.comp_rep_bytes}"")
print(f""Expected data frame shape: {mem_estimate.comp_rep_shape}"")
```:class: warning
{meth}`~baybe.searchspace.core.SearchSpace.estimate_product_space_size`
currently does not include the influence of potential constraints in your search space
as it is generally very hard to incorporate the effect of arbitrary constraints without
actually building the entire space. Hence, you should always **treat the number you get
as upper bound** of required memory. This can still be useful  for instance if your
estimate already is several Exabytes, it is unlikely that most computers would be able
to handle the result even if there are constraints present.:class: warning
{meth}`~baybe.searchspace.core.SearchSpace.estimate_product_space_size`
only estimates the memory required to handle the search space. **It does not estimate
the memory required during optimization**, which can be of a similar magnitude, but
generally depends on additional factors.:class: info
Continuous parameters do not influence the size of the discrete search space part as 
they do not contribute to the combinatorial configurations like discrete parameters.
Hence, they are ignored by the utility.:class: tip
If you run into issues creating large search spaces, as for instance in mixture
use cases, you should consider resorting to more specialized ways of creation by
invoking alternative search space constructors like 
{meth}`~baybe.searchspace.discrete.SubspaceDiscrete.from_dataframe`
or 
{meth}`~baybe.searchspace.discrete.SubspaceDiscrete.from_simplex`.
Instead of creating a product space first and then filtering it down
according to constraints, they offer a more direct and thus efficient path to the 
desired result, typically requiring substantially less memory. 
For example, {meth}`~baybe.searchspace.discrete.SubspaceDiscrete.from_simplex` 
includes the mixture constraint already *during* the product creation. 
In addition, BayBE can also be installed with its optional `polars` dependency 
(`pip install baybe[polars]`) that activates efficient machinery for constraint handling.",What BayBE utility can be used to estimate the memory required to represent a discrete search space?,Can I estimate the search space memory after applying my constraints?
